sheet,max_row,max_col,formula_cells_sampled,role_guess
Approved,960,38,2961,formula_output
Executed,960,38,3103,formula_output
2006-15,830431,12,0,raw
Raw2,827760,7,0,raw
2016-19,958752,38,0,raw
2020-24,561890,20,0,raw
LEGEND,195,6,0,unknown
