sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,sample_formula,sample_year,measure,criteria_json
Approved,270,HEADER,EXP_ECON_SBN_CAP_SPE_EXE,Subnational: Capital spending,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,271,HEADER,EXP_FUNC_SBN_EDU_EXE,Subnational: Spending in education,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,272,HEADER,EXP_CROSS_SBN_CAP_EDU_EXE,Subnational: Capital Spending in education,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,273,HEADER,EXP_FUNC_SBN_HEA_EXE,Subnational: Spending in health,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,274,HEADER,EXP_CROSS_SBN_CAP_HEA_EXE,Subnational: Capital Spending in health,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,275,HEADER,EXP_FUNC_SBN_AGR_EXE,Subnational: Spending in agriculture,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,276,HEADER,EXP_CROSS_SBN_CAP_EXP_ROA_EXE,Subnational: Capital expenditures in roads,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,277,HEADER,EXP_CROSS_SBN_CAP_EXP_ENE_EXE,Subnational: Capital expenditures in energy,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,278,HEADER,EXP_CROSS_SBN_CAP_EXP_WAT_SAN_EXE,Subnational: Capital expenditures in water and sanitation,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,279,HEADER,EXP_CROSS_SBN_REC_EXP_ROA_EXE,Subnational: Recurrent expenditures in roads,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,280,HEADER,EXP_CROSS_SBN_REC_EXP_ENE_EXE,Subnational: Recurrent expenditures in energy,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,281,HEADER,EXP_CROSS_SBN_REC_EXP_WAT_SAN_EXE,Subnational: Recurrent expenditures in water and sanitation,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,282,HEADER,EXP_CROSS_SBN_CAP_AGR_EXE,Subnational: Capital Spending in agriculture,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
